startdate,station,pm,bc,na,mg,al,si,s,cl,k,ca,sc,ti,v,cr,mn,fe,co,ni,cu,zn,ga,ge,se,br,rb,sr,y,zr,nb,mo,pd,ag,cd,sn,sb,cs,ba,la,ce,sm,eu,tb,au,tl,pb,date1,central,month,season
11/5/2017,c2pm25,35.439999,1.8,.46970001,.19939999,.43810001,.92369998,6.2996998,.0071999999,.2436,.63499999,.0018,.024800001,.0057000001,.0014,.0097000003,.3355,.0015,.0031000001,.0054000001,.039000001,.00060000003,0,0,.0082999999,0,.0038999999,.0013,.0044,.0068000001,.0026,.0070000002,.0035000001,0,.0031000001,0,0,0,.017100001,0,0,0,0,.0029,0,.0151,05nov2017,c2pm25,11,3
11/5/2017,c2pm10,80.230003,2.0799999,.6548,1.0321,2.1017001,5.3161001,6.2097998,.1507,.70160002,5.9017,.0026,.1425,.0073000002,.0091000004,.039500002,2.0123,0,.0105,.0109,.0557,.00030000001,.000099999997,.0024999999,.017899999,.00060000003,.0381,0,.0081000002,.0063,.0033,.0034,.0052999998,0,.0077,.0126,0,0,.0038999999,.0077,.0071,0,0,.00030000001,0,.0148,05nov2017,c2pm10,11,3
11/5/2017,c1pm25,33.610001,2.02,.47929999,.2137,.4628,.81169999,5.7764001,.0148,.27500001,.52859998,0,.0255,.0071,.0018,.0099999998,.3671,.00030000001,.0035000001,.0093,.069600001,0,0,0,.0125,0,.0077999998,0,.0088,.0057000001,.0089999996,0,.0017,0,.026699999,0,0,.0070000002,.0055,0,0,0,0,.00050000002,0,.0219,05nov2017,c1pm25,11,3
11/6/2017,c1pm25,53.830002,2.6199999,.64029998,.1805,.43290001,.79960001,8.0853004,.0429,.18889999,.41510001,.0076000001,.025900001,.0117,.0027999999,.0082999999,.37940001,0,.0051000002,.0102,.051600002,.000099999997,0,.001,.0106,.00069999998,.0062000002,.001,0,.0020000001,.0046999999,0,.00019999999,.0017,.0102,0,0,0,0,.0015,0,0,0,0,.00030000001,.0136,06nov2017,c1pm25,11,3
11/6/2017,c1pm10,77.040001,2.27,.7281,.79430002,1.8189,4.1637001,7.0327001,.1199,.56690001,4.1705999,.0097000003,.14049999,.0114,.0076000001,.033100002,1.9135,.001,.0071,.0232,.098499998,0,.00069999998,0,.0106,0,.0295,0,.0097000003,.0031000001,.0027999999,.0083999997,.0057999999,.00069999998,.0207,0,0,.045299999,0,.0014,0,0,0,0,0,.022500001,06nov2017,c1pm10,11,3
11/7/2017,c1pm10,133.39999,5.0700002,.81089997,1.4369,3.2393,8.1597004,9.0202999,.2411,.98220003,9.7950001,.0141,.26800001,.0186,.021199999,.081299998,4.1107001,.0071999999,.015900001,.082000002,.2624,.0020999999,0,.0012000001,.032400001,.0019,.0502,.00050000002,.037799999,.0016,.0041999999,.013,.0083999997,.0023000001,.0207,0,0,.1221,0,0,0,0,0,0,.0019,.022,07nov2017,c1pm10,11,3
11/7/2017,c2pm10,113.87,3.3800001,.73119998,1.258,2.6321001,6.7413998,7.8172002,.1472,.78860003,7.9250002,.0014,.1833,.018999999,.0129,.056299999,2.6333001,.0038999999,.0147,.0187,.083300002,.0029,0,.0052,.023399999,.0011,.040800001,.0027000001,.0082999999,0,.0073000002,.0035999999,.0043000001,.0044999998,.0178,.0059000002,0,.0308,0,0,0,0,0,0,.0012000001,.0228,07nov2017,c2pm10,11,3
11/7/2017,c2pm25,56.099998,2.8399999,.53799999,.27270001,.56940001,1.1069,7.9692001,.0108,.2361,.7622,.0034,.0285,.0144,.0015,.0088,.42109999,.00060000003,.0046000001,.0057999999,.044399999,.0013,0,.0013,.0186,.0024000001,.0097000003,.0022,.0020999999,.0017,.0040000002,.0012000001,.0044999998,0,.011,.0035999999,0,.00039999999,0,.0116,0,0,0,0,.0085000005,.0184,07nov2017,c2pm25,11,3
11/7/2017,c1pm25,59.450001,3.9300001,.65249997,.2642,.59549999,1.1585,9.3632002,.0184,.3163,.85460001,.0111,.0447,.0091000004,.003,.0145,.75550002,.001,.0055999998,.027100001,.1709,0,0,.000099999997,.021600001,.00030000001,.0105,.0035000001,.00089999998,.0052999998,.0034,.0037,.0029,0,.0051000002,0,.020400001,0,0,0,0,0,0,0,.0043000001,.0228,07nov2017,c1pm25,11,3
11/8/2017,c1pm10,120.65,4.54,.76050001,1.1152,2.9421,7.3024001,8.5811996,.0973,.92119998,7.7546,.0196,.2376,.0173,.0125,.055100001,3.5251999,.0074,.0138,.073200002,.1434,.001,0,.0027000001,.036600001,.0020999999,.0491,0,.021400001,.0012000001,.0040000002,.0088999998,.0108,0,.0103,.0060000001,0,.1049,0,.0146,0,.025900001,0,0,0,.0217,08nov2017,c1pm10,11,3
